participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic
1,bl_test_1,5,4.204,2,unimodal,big expensive,,test,ball,big,expensive,scalar,first,,,5
1,bl_test_2,5,5.203,2,unimodal,expensive big,,test,ball,big,expensive,scalar,second,,,5
1,bl_test_3,4,6.872,2,unimodal,striped big,,test,ball,big,striped,absolute,second,,,5
1,bl_test_4,5,3.215,2,unimodal,big striped,,test,ball,big,striped,absolute,first,,,5
1,bl_test_5,4,4.319,2,unimodal,big cheap,,test,ball,big,cheap,scalar,first,,,5
1,bl_test_6,5,4.735,2,unimodal,cheap big,,test,ball,big,cheap,scalar,second,,,5
1,bl_test_7,5,2.614,2,unimodal,big plastic,,test,ball,big,plastic,absolute,first,,,5
1,bl_test_8,3,6.341,2,unimodal,plastic big,,test,ball,big,plastic,absolute,second,,,5
1,sp_test_1,5,1.967,2,bimodal,long expensive,,test,spring,long,expensive,scalar,first,,,5
1,sp_test_2,5,4.581,2,bimodal,expensive long,,test,spring,long,expensive,scalar,second,,,5
1,sp_test_3,3,5.638,2,bimodal,plastic long,,test,spring,long,plastic,absolute,second,,,5
1,sp_test_4,5,2.849,2,bimodal,long plastic,,test,spring,long,plastic,absolute,first,,,5
1,sp_test_5,5,4.333,2,bimodal,cheap long,,test,spring,long,cheap,scalar,second,,,5
1,sp_test_6,5,2.619,2,bimodal,long cheap,,test,spring,long,cheap,scalar,first,,,5
1,sp_test_7,1,3.856,2,bimodal,metal long,,test,spring,long,metal,absolute,second,,,5
1,sp_test_8,5,8.674,2,bimodal,long metal,,test,spring,long,metal,absolute,first,,,5
1,bl_filler_1,5,2.837,2,unimodal,,questionable,filler,ball,,,,,,,5
1,bl_filler_2,1,4.457,2,unimodal,,questionable,filler,ball,,,,,,,5
1,bl_filler_3,5,2.775,2,unimodal,,acceptable,filler,ball,,,,,,,5
1,bl_filler_4,5,2.532,2,unimodal,,acceptable,filler,ball,,,,,,,5
1,bl_filler_5,5,3.476,2,unimodal,,acceptable,filler,ball,,,,,,,5
1,bl_filler_6,1,3.072,2,unimodal,,unacceptable,filler,ball,,,,,,,5
1,bl_filler_7,3,4.382,2,unimodal,,questionable,filler,ball,,,,,,,5
1,bl_filler_8,3,3.627,2,unimodal,,questionable,filler,ball,,,,,,,5
1,bl_filler_9,1,4.152,2,unimodal,,unacceptable,filler,ball,,,,,,,5
1,bl_filler_10,5,3.149,2,unimodal,,acceptable,filler,ball,,,,,,,5
1,sp_filler_1,5,5.268,2,bimodal,,questionable,filler,spring,,,,,,,5
1,sp_filler_2,5,2.377,2,bimodal,,acceptable,filler,spring,,,,,,,5
1,sp_filler_3,5,2.045,2,bimodal,,acceptable,filler,spring,,,,,,,5
1,sp_filler_4,1,2.392,2,bimodal,,questionable,filler,spring,,,,,,,5
