experiment,participant,preference_for_first_order,mean_acceptability,relative_subjectivity,condition,scenario,adj_target,adj_secondary,adj_secondary_type,confidence_on_semantic,corpus_preference
1,101,0,5.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,102,0,2.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,103,0,4.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,104,0,5.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,105,0,5.0,,unimodal,couch,long,expensive,scalar,,-0.568829529919024
1,106,-2,3.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,107,1,4.5,,unimodal,couch,long,expensive,scalar,,-0.568829529919024
1,108,0,5.0,,unimodal,couch,long,expensive,scalar,,-0.568829529919024
1,109,-3,3.5,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,110,0,5.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,111,-1,2.5,,unimodal,couch,long,expensive,scalar,,-0.568829529919024
1,112,0,5.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,113,0,5.0,,unimodal,couch,long,expensive,scalar,,-0.568829529919024
1,114,0,4.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,115,1,3.5,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,116,2,4.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,117,1,4.5,,unimodal,couch,long,expensive,scalar,,-0.568829529919024
1,118,0,5.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,119,-1,4.5,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,120,-1,4.5,,unimodal,couch,long,expensive,scalar,,-0.568829529919024
1,121,2,4.0,,unimodal,couch,long,expensive,scalar,,-0.568829529919024
1,122,0,5.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,123,-1,3.5,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,125,0,4.0,,unimodal,couch,long,expensive,scalar,,-0.568829529919024
1,127,0,5.0,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,128,-1,3.5,,bimodal,couch,long,expensive,scalar,,-0.568829529919024
1,129,0,5.0,,unimodal,couch,long,expensive,scalar,,-0.568829529919024
2,201,0,5.0,0.1529017857142857,unimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,202,0,2.0,0.1529017857142857,unimodal,couch,long,expensive,scalar,4,-0.568829529919024
2,203,1,4.5,-0.025974025974025927,bimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,204,1,4.5,-0.025974025974025927,bimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,205,1,4.5,0.1529017857142857,unimodal,couch,long,expensive,scalar,4,-0.568829529919024
2,206,-1,3.5,-0.025974025974025927,bimodal,couch,long,expensive,scalar,4,-0.568829529919024
2,207,0,5.0,0.1529017857142857,unimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,208,1,4.5,0.1529017857142857,unimodal,couch,long,expensive,scalar,4,-0.568829529919024
2,209,0,5.0,0.1529017857142857,unimodal,couch,long,expensive,scalar,4,-0.568829529919024
2,210,3,3.5,-0.025974025974025927,bimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,211,0,5.0,0.1529017857142857,unimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,212,0,5.0,-0.025974025974025927,bimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,213,-1,2.5,0.1529017857142857,unimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,214,1,4.5,0.1529017857142857,unimodal,couch,long,expensive,scalar,4,-0.568829529919024
2,215,0,4.0,-0.025974025974025927,bimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,218,0,5.0,0.1529017857142857,unimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,219,-1,4.5,-0.025974025974025927,bimodal,couch,long,expensive,scalar,4,-0.568829529919024
2,220,0,3.0,-0.025974025974025927,bimodal,couch,long,expensive,scalar,5,-0.568829529919024
2,221,0,4.0,0.1529017857142857,unimodal,couch,long,expensive,scalar,4,-0.568829529919024
2,223,-2,4.0,-0.025974025974025927,bimodal,couch,long,expensive,scalar,4,-0.568829529919024
