experiment,participant,id,response,time,group,condition,adjectivestring,filler_acceptability,item_type,scenario,adj_target,adj_secondary,adj_secondary_type,order,stimulus_size,stimulus_price,confidence_on_semantic,disagreement_on_adj_target,disagreement_on_adj_secondary
1,101,tv_test_1,5,18.814,2,unimodal,big expensive,,test,tv,big,expensive,scalar,first,,,,,
1,101,tv_test_2,3,6.329,2,unimodal,expensive big,,test,tv,big,expensive,scalar,second,,,,,
1,101,tv_test_3,5,2.578,2,unimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,,,
1,101,tv_test_4,5,6.122,2,unimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,,,
1,101,tv_test_5,5,2.567,2,unimodal,big cheap,,test,tv,big,cheap,scalar,first,,,,,
1,101,tv_test_6,5,3.349,2,unimodal,cheap big,,test,tv,big,cheap,scalar,second,,,,,
1,101,tv_test_7,5,1.874,2,unimodal,big discounted,,test,tv,big,discounted,absolute,first,,,,,
1,101,tv_test_8,5,3.003,2,unimodal,discounted big,,test,tv,big,discounted,absolute,second,,,,,
1,101,ch_test_1,5,1.712,2,bimodal,long expensive,,test,couch,long,expensive,scalar,first,,,,,
1,101,ch_test_2,5,1.78,2,bimodal,expensive long,,test,couch,long,expensive,scalar,second,,,,,
1,101,ch_test_3,5,2.025,2,bimodal,leather long,,test,couch,long,leather,absolute,second,,,,,
1,101,ch_test_4,5,1.452,2,bimodal,long leather,,test,couch,long,leather,absolute,first,,,,,
1,101,ch_test_5,5,1.279,2,bimodal,cheap long,,test,couch,long,cheap,scalar,second,,,,,
1,101,ch_test_6,4,4.341,2,bimodal,long cheap,,test,couch,long,cheap,scalar,first,,,,,
1,101,ch_test_7,4,1.738,2,bimodal,discounted long,,test,couch,long,discounted,absolute,second,,,,,
1,101,ch_test_8,5,6.559,2,bimodal,long discounted,,test,couch,long,discounted,absolute,first,,,,,
1,101,tv_filler_1,3,7.841,2,unimodal,,questionable,filler,tv,,,,,,,,,
1,101,tv_filler_2,1,3.044,2,unimodal,,questionable,filler,tv,,,,,,,,,
1,101,tv_filler_3,4,14.646,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,101,tv_filler_4,5,9.351,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,101,tv_filler_5,5,4.183,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,101,tv_filler_6,5,2.669,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,101,tv_filler_7,1,2.305,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,101,tv_filler_8,5,1.753,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,101,tv_filler_9,1,45.031,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,101,tv_filler_10,5,3.313,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,101,ch_filler_1,5,1.445,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,101,ch_filler_2,5,1.544,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,101,ch_filler_3,5,2.19,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,101,ch_filler_4,5,2.663,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,101,ch_filler_5,3,2.964,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,101,ch_filler_6,5,1.369,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,101,ch_filler_7,1,1.615,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,101,ch_filler_8,1,2.505,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,101,ch_filler_9,4,6.651,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,101,ch_filler_10,5,3.847,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,102,tv_test_1,4,4.713,2,unimodal,big expensive,,test,tv,big,expensive,scalar,first,,,,,
1,102,tv_test_2,4,4.098,2,unimodal,expensive big,,test,tv,big,expensive,scalar,second,,,,,
1,102,tv_test_3,3,3.444,2,unimodal,refurbished big,,test,tv,big,refurbished,absolute,second,,,,,
1,102,tv_test_4,4,5.917,2,unimodal,big refurbished,,test,tv,big,refurbished,absolute,first,,,,,
1,102,tv_test_5,4,3.265,2,unimodal,big cheap,,test,tv,big,cheap,scalar,first,,,,,
1,102,tv_test_6,5,6.147,2,unimodal,cheap big,,test,tv,big,cheap,scalar,second,,,,,
1,102,tv_test_7,5,19.08,2,unimodal,big discounted,,test,tv,big,discounted,absolute,first,,,,,
1,102,tv_test_8,5,3.356,2,unimodal,discounted big,,test,tv,big,discounted,absolute,second,,,,,
1,102,ch_test_1,2,4.715,2,bimodal,long expensive,,test,couch,long,expensive,scalar,first,,,,,
1,102,ch_test_2,2,3.91,2,bimodal,expensive long,,test,couch,long,expensive,scalar,second,,,,,
1,102,ch_test_3,3,6.662,2,bimodal,leather long,,test,couch,long,leather,absolute,second,,,,,
1,102,ch_test_4,3,3.236,2,bimodal,long leather,,test,couch,long,leather,absolute,first,,,,,
1,102,ch_test_5,5,4.393,2,bimodal,cheap long,,test,couch,long,cheap,scalar,second,,,,,
1,102,ch_test_6,3,3.81,2,bimodal,long cheap,,test,couch,long,cheap,scalar,first,,,,,
1,102,ch_test_7,2,6.379,2,bimodal,discounted long,,test,couch,long,discounted,absolute,second,,,,,
1,102,ch_test_8,5,7.499,2,bimodal,long discounted,,test,couch,long,discounted,absolute,first,,,,,
1,102,tv_filler_1,3,6.013,2,unimodal,,questionable,filler,tv,,,,,,,,,
1,102,tv_filler_2,3,3.112,2,unimodal,,questionable,filler,tv,,,,,,,,,
1,102,tv_filler_3,4,2.832,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,102,tv_filler_4,5,2.197,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,102,tv_filler_5,5,8.803,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,102,tv_filler_6,1,3.067,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,102,tv_filler_7,1,4.889,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,102,tv_filler_8,1,2.311,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,102,tv_filler_9,1,12.679,2,unimodal,,unacceptable,filler,tv,,,,,,,,,
1,102,tv_filler_10,5,2.821,2,unimodal,,acceptable,filler,tv,,,,,,,,,
1,102,ch_filler_1,4,12.847,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,102,ch_filler_2,5,3.296,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,102,ch_filler_3,4,5.853,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,102,ch_filler_4,4,4.847,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,102,ch_filler_5,3,6.672,2,bimodal,,questionable,filler,couch,,,,,,,,,
1,102,ch_filler_6,4,3.984,2,bimodal,,acceptable,filler,couch,,,,,,,,,
1,102,ch_filler_7,1,4.213,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
1,102,ch_filler_8,1,3.726,2,bimodal,,unacceptable,filler,couch,,,,,,,,,
